doh_id,insp_rpt,name,address,phone_num,yelp_id,lat,lon,insp_date,insp_timein,insp_type,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,yelp_cat,yelp_rating,yelp_reviews,risk,insp_name,insp_badge,license_number,crime_count,311_count,construction_count,avg_high_temp
725,202471,CHINA WOK,"1508 BENNING RD NE Washington, DC 20002",2023880348,china-wok-washington,38.9001692,-76.983102,2014-03-24,11:55:00,Routine,3,2,2,0,1,0,1,1,"[[Chinese, chinese]]",3.0,7,2,Carolene Bailey,107,931369001875,17,1,8,64.59
725,814042,CHINA WOK,"1508 BENNING RD NE Washington, DC 20002",2023880348,china-wok-washington,38.9001692,-76.983102,2015-10-13,14:15:00,Routine,4,1,1,0,1,0,3,0,"[[Chinese, chinese]]",3.0,7,2,Alice Jackson,54,931369001875,15,0,11,74.61
757,199506,GOLDEN SKILLET,"1803 RHODE ISLAND AVE NE Washington, DC 20018",2028323334,golden-skillet-washington,38.9279171,-76.9779206,2013-10-21,13:31:00,Routine,2,2,2,0,0,0,0,2,"[[American (New), newamerican]]",3.5,5,3,C BASSEY,612,931369003168,4,0,3,68.38
757,202930,GOLDEN SKILLET,"1803 RHODE ISLAND AVE NE Washington, DC 20018",2028323334,golden-skillet-washington,38.9279171,-76.9779206,2014-04-07,13:10:00,Routine,3,3,2,0,1,0,1,2,"[[American (New), newamerican]]",3.5,5,3,Carolene Bailey,107,931369003168,3,0,2,70.72
757,205380,GOLDEN SKILLET,"1803 RHODE ISLAND AVE NE Washington, DC 20018",2028323334,golden-skillet-washington,38.9279171,-76.9779206,2014-08-13,14:30:00,Routine,6,2,2,0,0,0,4,2,"[[American (New), newamerican]]",3.5,5,3,Temesgen Jemaneh,422,931369003168,3,0,4,86.46
757,611930,GOLDEN SKILLET,"1803 RHODE ISLAND AVE NE Washington, DC 20018",2028323334,golden-skillet-washington,38.9279171,-76.9779206,2015-04-28,13:25:00,Routine,9,5,3,0,2,0,6,3,"[[American (New), newamerican]]",3.5,5,3,Denise T. Lucas,603,931369003168,7,0,2,81.17
807,201044,EBENEZERS COFFEEHOUSE,"201 F ST NE Washington, DC 20002",2025586900,ebenezers-coffeehouse-washington,38.8971166,-77.0033021,2014-01-14,09:50:00,Routine,3,2,1,0,0,0,2,2,"[[Coffee & Tea, coffee]]",4.0,273,2,JEMAL YASIN,26,931313000252,4,0,4,30.85
807,404561,EBENEZERS COFFEEHOUSE,"201 F ST NE Washington, DC 20002",2025586900,ebenezers-coffeehouse-washington,38.8971166,-77.0033021,2014-09-30,10:35:00,Routine,8,3,4,0,0,0,4,3,"[[Coffee & Tea, coffee]]",4.0,273,2,ROSS GATERETSE,624,931313000252,13,0,5,80.41
807,810276,EBENEZERS COFFEEHOUSE,"201 F ST NE Washington, DC 20002",2025586900,ebenezers-coffeehouse-washington,38.8971166,-77.0033021,2015-05-07,14:10:00,Routine,3,1,0,0,0,0,3,1,"[[Coffee & Tea, coffee]]",4.0,273,2,Temesgen Jemaneh,422,931313000252,7,0,7,84.36
807,823965,EBENEZERS COFFEEHOUSE,"201 F ST NE Washington, DC 20002",2025586900,ebenezers-coffeehouse-washington,38.8971166,-77.0033021,2016-04-19,09:35:00,Routine,5,3,0,0,1,0,5,2,"[[Coffee & Tea, coffee]]",4.0,273,2,Jaime Hernandez,607,931313000252,10,0,6,77.63
833,203486,DELI CITY,"2200 BLADENSBURG RD NE Washington, DC 20018",,deli-city-restaurant-washington,38.9197235,-76.9708629,2014-05-06,10:30:00,Routine,9,3,2,0,0,0,7,3,"[[Sandwiches, sandwiches]]",4.5,42,3,ROSS GATERETSE,624,9305500005116,7,0,1,81.58
833,405236,DELI CITY,"2200 BLADENSBURG RD NE Washington, DC 20018",,deli-city-restaurant-washington,38.9197235,-76.9708629,2014-10-28,11:15:00,Routine,1,3,0,0,1,0,1,2,"[[Sandwiches, sandwiches]]",4.5,42,3,Temesgen Jemaneh,422,9305500005116,6,0,4,70.72
840,153377,ARMAND'S CHICAGO PIZZERIA,"226 MASSACHUSETTS AVE NE Washington, DC 20003",2025476600,armands-chicago-pizzeria-washington,38.8950986,-77.0024908,2013-06-12,13:30:00,Routine,2,3,0,0,0,0,2,3,"[[Pizza, pizza], [Sandwiches, sandwiches]]",3.0,96,3,R ESPY-HARLAN,59,931366005472,6,0,5,90.67
840,201220,ARMAND'S CHICAGO PIZZERIA,"226 MASSACHUSETTS AVE NE Washington, DC 20003",2025476600,armands-chicago-pizzeria-washington,38.8950986,-77.0024908,2014-01-17,13:40:00,Routine,4,4,0,0,0,0,4,4,"[[Pizza, pizza], [Sandwiches, sandwiches]]",3.0,96,3,Carolene Bailey,107,931366005472,9,0,6,33.25
840,610993,ARMAND'S CHICAGO PIZZERIA,"226 MASSACHUSETTS AVE NE Washington, DC 20003",2025476600,armands-chicago-pizzeria-washington,38.8950986,-77.0024908,2015-03-26,14:15:00,Routine,7,7,2,0,1,0,5,6,"[[Pizza, pizza], [Sandwiches, sandwiches]]",3.0,96,3,JEMAL YASIN,26,931366005472,9,0,5,68.68
840,823877,ARMAND'S CHICAGO PIZZERIA,"226 MASSACHUSETTS AVE NE Washington, DC 20003",2025476600,armands-chicago-pizzeria-washington,38.8950986,-77.0024908,2016-04-14,13:25:00,Routine,6,5,0,0,0,0,6,5,"[[Pizza, pizza], [Sandwiches, sandwiches]]",3.0,96,3,Jaime Hernandez,607,931366005472,13,0,11,71.36
855,201071,DUTCH MILL CATERING CLUB RIO,"2335 BLADENSBURG RD NE Washington, DC 20018",3016569570,bethesda-sport-and-health-bethesda-4,38.921355,-76.968783,2014-01-14,12:15:00,Routine,4,2,1,0,0,0,3,2,"[[Gyms, gyms], [Trainers, healthtrainers], [Sports Clubs, sports_clubs]]",3.0,40,3,ROSS GATERETSE,624,931350004399,11,0,0,30.85
855,205860,DUTCH MILL CATERING CLUB RIO,"2335 BLADENSBURG RD NE Washington, DC 20018",3016569570,bethesda-sport-and-health-bethesda-4,38.921355,-76.968783,2014-09-02,12:16:00,Routine,3,1,2,0,0,0,1,1,"[[Gyms, gyms], [Trainers, healthtrainers], [Sports Clubs, sports_clubs]]",3.0,40,3,Temesgen Jemaneh,422,931350004399,7,0,3,81.02
855,606738,DUTCH MILL CATERING CLUB RIO,"2335 BLADENSBURG RD NE Washington, DC 20018",3016569570,bethesda-sport-and-health-bethesda-4,38.921355,-76.968783,2014-12-29,09:50:00,Routine,1,1,0,0,0,0,1,1,"[[Gyms, gyms], [Trainers, healthtrainers], [Sports Clubs, sports_clubs]]",3.0,40,3,Jemal Yasin,26,931350004399,2,0,0,39.76
862,201094,B & J CARRYOUT,"238 RHODE ISLAND AVE NW Washington, DC 20001",2024136883,b-and-j-carryout-washington,38.9142536,-77.0156089,2014-01-15,10:05:00,Routine,12,12,0,0,0,0,12,12,"[[Barbeque, bbq]]",2.5,11,3,"Denis Lucas, Laura Wildey, Douglas Dalier",603,931366004710,24,0,2,31.78
862,204591,B & J CARRYOUT,"238 RHODE ISLAND AVE NW Washington, DC 20001",2024136883,b-and-j-carryout-washington,38.9142536,-77.0156089,2014-06-24,11:10:00,Routine,4,3,4,0,3,0,0,0,"[[Barbeque, bbq]]",2.5,11,3,C BASSEY,612,931366004710,23,0,8,79.92
862,612047,B & J CARRYOUT,"238 RHODE ISLAND AVE NW Washington, DC 20001",2024136883,b-and-j-carryout-washington,38.9142536,-77.0156089,2015-05-01,10:00:00,Routine,3,4,2,0,1,0,1,3,"[[Barbeque, bbq]]",2.5,11,3,Alice Jackson,54,931366004710,16,0,7,74.09
862,814176,B & J CARRYOUT,"238 RHODE ISLAND AVE NW Washington, DC 20001",2024136883,b-and-j-carryout-washington,38.9142536,-77.0156089,2015-10-16,11:26:00,Routine,3,1,1,2,0,1,2,1,"[[Barbeque, bbq]]",2.5,11,3,FANG,611,931366004710,19,0,14,75.62
867,198090,DUNKIN DONUTS,"2420 NEW YORK AVE NE Washington, DC 20002",2025263677,dunkin-donuts-washington-13,38.9177606,-76.9711815,2013-08-09,11:47:00,Routine,1,3,1,0,1,0,0,2,"[[Donuts, donuts], [Coffee & Tea, coffee]]",2.0,14,2,Ivory Gene Cooper,650,931339935801,5,0,0,95.62
867,203077,DUNKIN DONUTS,"2420 NEW YORK AVE NE Washington, DC 20002",2025263677,dunkin-donuts-washington-13,38.9177606,-76.9711815,2014-04-14,13:55:00,Routine,0,2,0,0,0,0,0,2,"[[Donuts, donuts], [Coffee & Tea, coffee]]",2.0,14,2,ROSS GATERETSE,624,931339935801,3,0,1,71.81
867,405479,DUNKIN DONUTS,"2420 NEW YORK AVE NE Washington, DC 20002",2025263677,dunkin-donuts-washington-13,38.9177606,-76.9711815,2014-11-04,11:00:00,Routine,1,1,0,0,0,0,1,1,"[[Donuts, donuts], [Coffee & Tea, coffee]]",2.0,14,2,Temesgen Jemaneh,422,931339935801,9,0,4,51.68
867,811087,DUNKIN DONUTS,"2420 NEW YORK AVE NE Washington, DC 20002",2025263677,dunkin-donuts-washington-13,38.9177606,-76.9711815,2015-05-28,11:00:00,Routine,3,0,2,0,0,0,1,0,"[[Donuts, donuts], [Coffee & Tea, coffee]]",2.0,14,2,Carolene Bailey,107,931339935801,8,0,2,76.74
871,199598,GOLF COURSE SPECIALISTS,"2500 BENNING RD NE Washington, DC 20002",2023978638,langston-golf-course-and-driving-range-washington-2,38.8995467,-76.970899,2013-10-25,11:06:00,Routine,3,0,2,0,0,0,1,0,"[[Golf, golf]]",3.5,17,2,C BASSEY,612,931350006906,5,0,2,69.31
871,611021,GOLF COURSE SPECIALISTS,"2500 BENNING RD NE Washington, DC 20002",2023978638,langston-golf-course-and-driving-range-washington-2,38.8995467,-76.970899,2015-03-26,13:50:00,Routine,2,4,0,0,0,0,2,4,"[[Golf, golf]]",3.5,17,2,Denise T. Lucas,603,931350006906,7,0,2,68.68
911,201786,BISTRO ITALIANO,"320 D ST NE Washington, DC 20002",2025464522,bistro-italiano-washington,38.8949541,-77.0011809,2014-02-19,11:05:00,Routine,2,1,0,0,0,0,2,1,"[[Italian, italian]]",3.5,124,3,TEMESGEN JEMANEH,422,931339506963,4,0,10,42.2
911,404520,BISTRO ITALIANO,"320 D ST NE Washington, DC 20002",2025464522,bistro-italiano-washington,38.8949541,-77.0011809,2014-09-29,12:05:00,Routine,7,2,2,0,1,0,5,1,"[[Italian, italian]]",3.5,124,3,ROSS GATERETSE,624,931339506963,8,0,4,79.32
911,610542,BISTRO ITALIANO,"320 D ST NE Washington, DC 20002",2025464522,bistro-italiano-washington,38.8949541,-77.0011809,2015-03-13,12:02:00,Routine,3,1,2,0,0,0,1,1,"[[Italian, italian]]",3.5,124,3,JEMAL YASIN,26,931339506963,4,0,4,59.5
911,824076,BISTRO ITALIANO,"320 D ST NE Washington, DC 20002",2025464522,bistro-italiano-washington,38.8949541,-77.0011809,2016-04-22,11:20:00,Routine,4,3,1,0,0,0,3,3,"[[Italian, italian]]",3.5,124,3,Jaime Hernandez,607,931339506963,11,1,6,74.72
912,201916,BURGER KING,"320 FLORIDA AVE NE Washington, DC 20002",2025467525,burger-king-washington-4,38.9078475,-77.0014642,2014-02-25,12:40:00,Routine,3,1,0,0,0,0,3,1,"[[Fast Food, hotdogs], [Burgers, burgers]]",2.0,10,3,Temesgen Jemaneh,422,931313000084,7,0,5,50.14
912,606285,BURGER KING,"320 FLORIDA AVE NE Washington, DC 20002",2025467525,burger-king-washington-4,38.9078475,-77.0014642,2014-12-04,13:10:00,Routine,3,0,1,0,0,0,2,0,"[[Fast Food, hotdogs], [Burgers, burgers]]",2.0,10,3,JEMAL YASIN,26,931313000084,7,0,8,34.75
912,810150,BURGER KING,"320 FLORIDA AVE NE Washington, DC 20002",2025467525,burger-king-washington-4,38.9078475,-77.0014642,2015-05-04,11:35:00,Routine,1,1,0,0,0,0,1,1,"[[Fast Food, hotdogs], [Burgers, burgers]]",2.0,10,3,Temesgen Jemaneh,422,931313000084,14,0,8,73.08
912,821864,BURGER KING,"320 FLORIDA AVE NE Washington, DC 20002",2025467525,burger-king-washington-4,38.9078475,-77.0014642,2016-01-28,12:06:00,Routine,4,0,1,0,0,0,3,0,"[[Fast Food, hotdogs], [Burgers, burgers]]",2.0,10,3,Alemayehu Tekleselassie,29,931313000084,3,0,11,27.74
912,822825,BURGER KING,"320 FLORIDA AVE NE Washington, DC 20002",2025467525,burger-king-washington-4,38.9078475,-77.0014642,2016-03-07,10:15:00,Routine,1,1,0,0,0,0,1,1,"[[Fast Food, hotdogs], [Burgers, burgers]]",2.0,10,3,Megan Johnson,121,931313000084,6,2,4,56.01
946,812731,BROOKLAND GRILL,"3528 12TH ST NE Washington, DC 20017",2025267419,brookland-grill-washington,38.9332895,-76.9912411,2015-08-19,10:30:00,Routine,2,1,2,0,0,0,0,1,"[[American (Traditional), tradamerican], [Diners, diners]]",3.5,36,3,Alice Jackson,54,931341000946,5,0,6,85.75
1033,823490,DENNY'S RESTAURANT,"4445 BENNING RD NE Washington, DC 20019",2023997526,dennys-washington,38.8904415,-76.9383434,2016-03-28,10:25:00,Routine,4,3,1,0,0,0,3,3,"[[Diners, diners], [American (Traditional), tradamerican], [Breakfast & Brunch, breakfast_brunch]]",3.5,38,3,Jaime Hernandez,607,931367003548,2,1,4,69.36
1044,199503,FULL YUM,"4940 SOUTH DAKOTA AVE NE WASHINGTON, DC 20017",2026360011,full-yums-sub-shop-washington,38.949117,-76.9928602,2013-10-22,00:09:00,Routine,2,1,2,0,1,0,0,0,"[[Chinese, chinese]]",3.0,4,3,C BASSEY,612,931367005737,2,0,0,68.99
1044,201515,FULL YUM,"4940 SOUTH DAKOTA AVE NE WASHINGTON, DC 20017",2026360011,full-yums-sub-shop-washington,38.949117,-76.9928602,2014-02-06,11:25:00,Routine,4,5,2,0,2,0,2,3,"[[Chinese, chinese]]",3.0,4,3,JEMAL YASIN,26,931367005737,3,0,2,31.37
1044,810734,FULL YUM,"4940 SOUTH DAKOTA AVE NE WASHINGTON, DC 20017",2026360011,full-yums-sub-shop-washington,38.949117,-76.9928602,2015-05-27,14:10:00,Routine,7,3,3,0,1,0,4,2,"[[Chinese, chinese]]",3.0,4,3,Denise T. Lucas,603,931367005737,5,0,2,77.22
1049,199850,EAST STREET CAFE,"50 MASSACHUSETTS AVE NE SPC 314 WASHINGTON, DC 20002",2023716788,east-street-cafe-washington,38.8975799,-77.0061578,2013-11-08,11:30:00,Routine,1,2,0,0,0,0,1,2,"[[Chinese, chinese], [Korean, korean], [Vietnamese, vietnamese]]",2.5,69,3,SHARON CAVE,124,931339708125,4,0,3,57.96
1049,200804,EAST STREET CAFE,"50 MASSACHUSETTS AVE NE SPC 314 WASHINGTON, DC 20002",2023716788,east-street-cafe-washington,38.8975799,-77.0061578,2013-12-30,09:40:00,Routine,5,1,0,0,0,0,5,1,"[[Chinese, chinese], [Korean, korean], [Vietnamese, vietnamese]]",2.5,69,3,JEMAL YASIN,26,931339708125,5,0,6,26.53
1049,203835,EAST STREET CAFE,"50 MASSACHUSETTS AVE NE SPC 314 WASHINGTON, DC 20002",2023716788,east-street-cafe-washington,38.8975799,-77.0061578,2014-05-27,11:30:00,Routine,4,2,0,0,0,0,4,2,"[[Chinese, chinese], [Korean, korean], [Vietnamese, vietnamese]]",2.5,69,3,SHARON CAVE,124,931339708125,10,0,9,79.25
1049,405731,EAST STREET CAFE,"50 MASSACHUSETTS AVE NE SPC 314 WASHINGTON, DC 20002",2023716788,east-street-cafe-washington,38.8975799,-77.0061578,2014-11-13,10:48:00,Routine,12,6,1,0,1,0,11,5,"[[Chinese, chinese], [Korean, korean], [Vietnamese, vietnamese]]",2.5,69,3,Victoria Fletcher,87,931339708125,11,0,10,44.15
1049,823608,EAST STREET CAFE,"50 MASSACHUSETTS AVE NE SPC 314 WASHINGTON, DC 20002",2023716788,east-street-cafe-washington,38.8975799,-77.0061578,2016-04-06,10:45:00,Routine,13,5,7,0,0,0,6,5,"[[Chinese, chinese], [Korean, korean], [Vietnamese, vietnamese]]",2.5,69,3,Dawn Adams,19,931339708125,4,0,8,68.19
1054,199451,AU BON PAIN,"50 MASSACHUSETTS AVE NE SPC 219 WASHINGTON, DC 20002",2028980299,au-bon-pain-washington-2,38.8975799,-77.0061578,2013-10-18,14:00:00,Routine,2,2,2,0,2,0,0,0,"[[Bakeries, bakeries], [Soup, soup], [Sandwiches, sandwiches]]",3.0,23,3,C BASSEY,612,931369008980,12,0,6,68.18
1054,201144,AU BON PAIN,"50 MASSACHUSETTS AVE NE SPC 219 WASHINGTON, DC 20002",2028980299,au-bon-pain-washington-2,38.8975799,-77.0061578,2014-01-16,10:30:00,Routine,9,2,2,0,0,0,7,2,"[[Bakeries, bakeries], [Soup, soup], [Sandwiches, sandwiches]]",3.0,23,3,ROSS GATERETSE,624,931369008980,8,0,5,32.68
1054,203683,AU BON PAIN,"50 MASSACHUSETTS AVE NE SPC 219 WASHINGTON, DC 20002",2028980299,au-bon-pain-washington-2,38.8975799,-77.0061578,2014-05-19,12:36:00,Routine,4,3,2,0,0,0,2,3,"[[Bakeries, bakeries], [Soup, soup], [Sandwiches, sandwiches]]",3.0,23,3,Denise T. Lucas,603,931369008980,5,0,5,81.03
1054,606427,AU BON PAIN,"50 MASSACHUSETTS AVE NE SPC 219 WASHINGTON, DC 20002",2028980299,au-bon-pain-washington-2,38.8975799,-77.0061578,2014-12-10,10:35:00,Routine,9,5,2,0,1,0,7,4,"[[Bakeries, bakeries], [Soup, soup], [Sandwiches, sandwiches]]",3.0,23,3,Denise Lucas / Jaime Hernandez,603,931369008980,10,0,5,35.69
1054,821795,AU BON PAIN,"50 MASSACHUSETTS AVE NE SPC 219 WASHINGTON, DC 20002",2028980299,au-bon-pain-washington-2,38.8975799,-77.0061578,2016-01-26,11:34:00,Routine,4,2,3,0,0,0,1,2,"[[Bakeries, bakeries], [Soup, soup], [Sandwiches, sandwiches]]",3.0,23,3,Alemayehu Tekleselassie,29,931369008980,2,0,4,24.68
1153,199174,CATHOLIC UNIV - STARBUCKS,"620 MICHIGAN AVE NE WASHINGTON, DC 20064",2023195295,student-restaurant-washington,38.9383082,-76.9999244,2013-10-01,13:00:00,Routine,0,1,0,0,1,0,0,0,"[[Cafeteria, cafeteria]]",2.5,2,2,C BASSEY,612,931368006270,1,0,1,78.5
1153,203577,CATHOLIC UNIV - STARBUCKS,"620 MICHIGAN AVE NE WASHINGTON, DC 20064",2023195295,student-restaurant-washington,38.9383082,-76.9999244,2014-05-12,11:00:00,Routine,1,0,1,0,0,0,0,0,"[[Cafeteria, cafeteria]]",2.5,2,2,Victoria Fletcher,87,931368006270,3,0,2,76.39
1153,611405,CATHOLIC UNIV - STARBUCKS,"620 MICHIGAN AVE NE WASHINGTON, DC 20064",2023195295,student-restaurant-washington,38.9383082,-76.9999244,2015-04-09,11:46:00,Routine,2,1,1,0,0,0,1,1,"[[Cafeteria, cafeteria]]",2.5,2,2,Denise T. Lucas,603,931368006270,4,0,3,69.58
1153,812699,CATHOLIC UNIV - STARBUCKS,"620 MICHIGAN AVE NE WASHINGTON, DC 20064",2023195295,student-restaurant-washington,38.9383082,-76.9999244,2015-08-18,13:00:00,Routine,0,3,0,0,0,0,0,3,"[[Cafeteria, cafeteria]]",2.5,2,2,Joyce Moore,64,931368006270,1,0,1,85.77
1153,824422,CATHOLIC UNIV - STARBUCKS,"620 MICHIGAN AVE NE WASHINGTON, DC 20064",2023195295,student-restaurant-washington,38.9383082,-76.9999244,2016-05-06,12:35:00,Routine,1,3,0,0,1,0,1,2,"[[Cafeteria, cafeteria]]",2.5,2,2,Jaime Hernandez,607,931368006270,1,0,2,80.41
1207,205231,ACADIANA RESTAURANT,"901 NEW YORK AVE NW Washington, DC 20001",2024088848,acadiana-washington,38.9020684,-77.0255225,2014-08-02,14:10:00,Routine,5,1,4,0,0,0,1,1,"[[Cajun/Creole, cajun]]",4.0,1029,4,TEMESGEN JEMANEH,422,931365004626,35,0,11,86.29
1207,606780,ACADIANA RESTAURANT,"901 NEW YORK AVE NW Washington, DC 20001",2024088848,acadiana-washington,38.9020684,-77.0255225,2014-12-30,12:00:00,Routine,6,7,2,0,2,0,4,5,"[[Cajun/Creole, cajun]]",4.0,1029,4,Denise T. Lucas,603,931365004626,31,0,6,37.31
1220,200891,GRAND HYATT - CURE,"1000 H ST NW WASHINGTON, DC 20001",2026374701,cure-bar-and-bistro-washington,38.8993306,-77.0265255,2014-01-06,11:15:00,Routine,4,0,3,0,0,0,1,0,"[[American (New), newamerican], [Tapas/Small Plates, tapasmallplates]]",3.5,148,5,Carolene Bailey,107,931320000267,13,0,5,32.16
1220,204485,GRAND HYATT - CURE,"1000 H ST NW WASHINGTON, DC 20001",2026374701,cure-bar-and-bistro-washington,38.8993306,-77.0265255,2014-06-23,10:15:00,Routine,3,0,2,0,0,0,1,0,"[[American (New), newamerican], [Tapas/Small Plates, tapasmallplates]]",3.5,148,5,JEMAL YASIN,26,931320000267,28,0,6,79.59
1220,607089,GRAND HYATT - CURE,"1000 H ST NW WASHINGTON, DC 20001",2026374701,cure-bar-and-bistro-washington,38.8993306,-77.0265255,2015-01-14,13:25:00,Routine,4,1,0,0,0,0,4,1,"[[American (New), newamerican], [Tapas/Small Plates, tapasmallplates]]",3.5,148,5,ROSS GATERETSE,624,931320000267,14,0,9,38.46
1220,810648,GRAND HYATT - CURE,"1000 H ST NW WASHINGTON, DC 20001",2026374701,cure-bar-and-bistro-washington,38.8993306,-77.0265255,2015-05-21,10:59:00,Routine,4,5,2,0,1,0,2,4,"[[American (New), newamerican], [Tapas/Small Plates, tapasmallplates]]",3.5,148,5,Victoria Fletcher,87,931320000267,18,0,15,83.82
1220,813105,GRAND HYATT - CURE,"1000 H ST NW WASHINGTON, DC 20001",2026374701,cure-bar-and-bistro-washington,38.8993306,-77.0265255,2015-09-01,10:20:00,Routine,1,3,0,0,0,0,1,3,"[[American (New), newamerican], [Tapas/Small Plates, tapasmallplates]]",3.5,148,5,Denise T. Lucas,603,931320000267,16,0,7,77.55
1220,821658,GRAND HYATT - CURE,"1000 H ST NW WASHINGTON, DC 20001",2026374701,cure-bar-and-bistro-washington,38.8993306,-77.0265255,2016-01-15,10:00:00,Routine,2,1,2,0,0,1,0,1,"[[American (New), newamerican], [Tapas/Small Plates, tapasmallplates]]",3.5,148,5,Alice Jackson,54,931320000267,35,1,6,31.17
1220,823162,GRAND HYATT - CURE,"1000 H ST NW WASHINGTON, DC 20001",2026374701,cure-bar-and-bistro-washington,38.8993306,-77.0265255,2016-03-16,11:00:00,Routine,1,1,0,0,0,1,1,1,"[[American (New), newamerican], [Tapas/Small Plates, tapasmallplates]]",3.5,148,5,Douglas Dalier,82,931320000267,18,0,7,55.11
1240,205558,BRAVO - BRAVO,"1001 CONNECTICUT AVE NW Washington, DC 20036",2022235330,bravo-bravo-washington,38.9028929,-77.0391673,2014-08-19,14:00:00,Routine,5,1,1,0,0,0,4,1,"[[Bars, bars], [American (New), newamerican], [American (Traditional), tradamerican]]",2.5,45,3,Douglas Dalier,82,931365990015,38,0,14,79.39
1240,811215,BRAVO - BRAVO,"1001 CONNECTICUT AVE NW Washington, DC 20036",2022235330,bravo-bravo-washington,38.9028929,-77.0391673,2015-06-11,11:10:00,Routine,1,5,0,0,0,0,1,5,"[[Bars, bars], [American (New), newamerican], [American (Traditional), tradamerican]]",2.5,45,3,Jaime Hernandez,607,931365990015,25,0,5,88.61
1248,198999,AU BON PAIN,"1001 PENNSYLVANIA AVE NW WASHINGTON, DC 20004",2023938809,au-bon-pain-washington-18,38.895654,-77.0264904,2013-09-25,09:30:00,Routine,1,0,1,0,0,0,0,0,"[[Breakfast & Brunch, breakfast_brunch], [Sandwiches, sandwiches], [Bakeries, bakeries]]",3.0,16,3,Temesgen Jemaneh,422,931369008884,11,0,6,72.9
