permit_id,name,address,category,permit_url,map_url
517,A LITTERI,"517 MORSE ST NE Washington, DC 20002",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=517,"http://maps.google.com/maps?q=517 MORSE ST NE Washington, DC 20002"
1690,A SLICE OF ITALY,"1331 PENNSYLVANIA AVE NW WASHINGTON, DC 20004",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1690,"http://maps.google.com/maps?q=1331 PENNSYLVANIA AVE NW WASHINGTON, DC 20004"
1146,A-1 GROCERY,"615 DIVISION AVE NE Washington, DC 20019",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1146,"http://maps.google.com/maps?q=615 DIVISION AVE NE Washington, DC 20019"
1802,A-1 WINE AND LIQUORS,"1420 K ST NW Washington, DC 20005",Food Products,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1802,"http://maps.google.com/maps?q=1420 K ST NW Washington, DC 20005"
5523,A.M. BRIGGS,"2130 QUEENS CHAPEL RD NE WASHINGTON, DC 20018",Marine-Food (Wholesale),http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5523,"http://maps.google.com/maps?q=2130 QUEENS CHAPEL RD NE WASHINGTON, DC 20018"
825,A.M. BRIGGS,"2130 QUEENS CHAPEL RD NE WASHINGTON, DC 20018",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=825,"http://maps.google.com/maps?q=2130 QUEENS CHAPEL RD NE WASHINGTON, DC 20018"
187655,AARON'S GIFTS,"2619 EVARTS ST NE WASHINGTON, DC 20018",Caterer,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187655,"http://maps.google.com/maps?q=2619 EVARTS ST NE WASHINGTON, DC 20018"
3640,AARP,"601 E ST NW Washington, DC 20004",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=3640,"http://maps.google.com/maps?q=601 E ST NW Washington, DC 20004"
4408,AATISH ON THE HILL,"609 PENNSYLVANIA AVE SE WASHINGTON, DC 20003",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4408,"http://maps.google.com/maps?q=609 PENNSYLVANIA AVE SE WASHINGTON, DC 20003"
2157,AB LIQUORS,"1803 COLUMBIA RD NW Washington, DC 20009",Food Products,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2157,"http://maps.google.com/maps?q=1803 COLUMBIA RD NW Washington, DC 20009"
188728,ABABA ETHOIPIAN RESTAURANT,"2106 18TH ST NW Washington, DC 20009",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188728,"http://maps.google.com/maps?q=2106 18TH ST NW Washington, DC 20009"
1123,ABC FOOD MARKET,"522 K ST NE Washington, DC 20002",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1123,"http://maps.google.com/maps?q=522 K ST NE Washington, DC 20002"
1759,ABC GROCERY,"1401 6TH ST NW Washington, DC 20001",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1759,"http://maps.google.com/maps?q=1401 6TH ST NW Washington, DC 20001"
188743,ABEM FAMILY  SUPEMARKET,"2205 4TH ST NE WASHINGTON, DC 20002",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188743,"http://maps.google.com/maps?q=2205 4TH ST NE WASHINGTON, DC 20002"
187694,ABG MART,"2216 MARTIN LUTHER  KING,Jr. AVE SE WASHINGTON, DC 20020",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187694,"http://maps.google.com/maps?q=2216 MARTIN LUTHER  KING,Jr. AVE SE WASHINGTON, DC 20020"
187495,ABG MART,"2216 MARTIN LUTHER  KING,Jr. AVE SE WASHINGTON, DC 20020",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187495,"http://maps.google.com/maps?q=2216 MARTIN LUTHER  KING,Jr. AVE SE WASHINGTON, DC 20020"
173098,ABOIL CAFE',"5503 GEORGIA AVE NW WASHINGTON, DC 20011",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=173098,"http://maps.google.com/maps?q=5503 GEORGIA AVE NW WASHINGTON, DC 20011"
147343,ABSOLUTE NOODLES,"772 5TH ST NW Washington, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147343,"http://maps.google.com/maps?q=772 5TH ST NW Washington, DC 20001"
4789,ABSOLUTE PIZZA KABAB (n),"2005 18TH ST NW Washington, DC 20009",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4789,"http://maps.google.com/maps?q=2005 18TH ST NW Washington, DC 20009"
6132,ABSOLUTE THAI RESTAURANT,"521 G ST NW WASHINGTON, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6132,"http://maps.google.com/maps?q=521 G ST NW WASHINGTON, DC 20001"
5137,ACACIA BISTRO,"4340 CONNECTICUT AVE NW Washington, DC 20008",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5137,"http://maps.google.com/maps?q=4340 CONNECTICUT AVE NW Washington, DC 20008"
1207,ACADIANA RESTAURANT,"901 NEW YORK AVE NW Washington, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1207,"http://maps.google.com/maps?q=901 NEW YORK AVE NW Washington, DC 20001"
6709,ACHE LOUNGE (n),"441 KENNEDY ST NW WASHINGTON, DC 20011",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6709,"http://maps.google.com/maps?q=441 KENNEDY ST NW WASHINGTON, DC 20011"
147802,ACHIEVEMENT PREP,"1500 MISSISSIPPI AVE SE WASHINGTON, DC 20032",School Cafeteria,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147802,"http://maps.google.com/maps?q=1500 MISSISSIPPI AVE SE WASHINGTON, DC 20032"
5300,ACQUA AL 2,"212 7TH ST SE WASHINGTON, DC 20003",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5300,"http://maps.google.com/maps?q=212 7TH ST SE WASHINGTON, DC 20003"
5852,ACRE 121 (n),"1400 IRVING ST NW STE 310 WASHINGTON, DC 20010",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5852,"http://maps.google.com/maps?q=1400 IRVING ST NW WASHINGTON, DC 20010"
6783,ACRE 121 (n),"1400 IRVING ST NW STE 310 WASHINGTON, DC 20010",Caterer,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6783,"http://maps.google.com/maps?q=1400 IRVING ST NW WASHINGTON, DC 20010"
188438,ADAMS MORGAN HARDWARE,"1704 COLUMBIA RD NW WASHINGTON, DC 20011",Food Products,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188438,"http://maps.google.com/maps?q=1704 COLUMBIA RD NW WASHINGTON, DC 20011"
6497,ADAMS MORGAN RESTAURANT AND COFFEE,"2204 18TH ST NW WASHINGTON, DC 20009",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6497,"http://maps.google.com/maps?q=2204 18TH ST NW WASHINGTON, DC 20009"
1168,ADAMS SUPER MARKET,"700 F ST NE Washington, DC 20002",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1168,"http://maps.google.com/maps?q=700 F ST NE Washington, DC 20002"
173153,ADDIS ETHIOPIAN RESTAURANT,"707 H ST NE WASHINGTON, DC 20002",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=173153,"http://maps.google.com/maps?q=707 H ST NE WASHINGTON, DC 20002"
5514,ADDIS MARKET AND DELI,"4610 14TH ST NW Washington, DC 20011",Food Products,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5514,"http://maps.google.com/maps?q=4610 14TH ST NW Washington, DC 20011"
1051,ADITI INDIAN KITCHEN,"50 MASSACHUSETTS AVE NE SPC 118 WASHINGTON, DC 20002",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1051,"http://maps.google.com/maps?q=50 MASSACHUSETTS AVE NE WASHINGTON, DC 20002"
188824,ADUN,"1369 NEW YORK AVE NE WASHINGTON, DC 20002",Caterer,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188824,"http://maps.google.com/maps?q=1369 NEW YORK AVE NE WASHINGTON, DC 20002"
6544,ADVANCED PATH ACADEMY,"1101 2ND ST NE WASHINGTON, DC 20002",School Cafeteria,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6544,"http://maps.google.com/maps?q=1101 2ND ST NE WASHINGTON, DC 20002"
172476,ADVISORY BOARD CAFE,"2445 M ST NW WASHINGTON, DC 20037",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172476,"http://maps.google.com/maps?q=2445 M ST NW WASHINGTON, DC 20037"
2579,AFGHAN GRILL,"2309 CALVERT ST NW WASHINGTON, DC 20008",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2579,"http://maps.google.com/maps?q=2309 CALVERT ST NW WASHINGTON, DC 20008"
3971,AFL CIO KITCHEN,"815 16TH ST NW Washington, DC 20006",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=3971,"http://maps.google.com/maps?q=815 16TH ST NW Washington, DC 20006"
1115,AFRICAN FOOD WHOLESALE,"505 MORSE ST NE Washington, DC 20002",Food Products,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1115,"http://maps.google.com/maps?q=505 MORSE ST NE Washington, DC 20002"
1008,AFRIK INTERNATIONAL FOOD SERVICES,"411 MORSE ST NE Washington, DC 20002",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1008,"http://maps.google.com/maps?q=411 MORSE ST NE Washington, DC 20002"
674,AFRIK INTERNATIONAL FOOD STORE,"411 MORSE ST NE WASHINGTON, DC 20002",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=674,"http://maps.google.com/maps?q=411 MORSE ST NE WASHINGTON, DC 20002"
172269,AFTER PEACOCK ROOM,"2622 P ST NW WASHINGTON, DC 20007",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172269,"http://maps.google.com/maps?q=2622 P ST NW WASHINGTON, DC 20007"
137296,AGORA RESTAURANT,"1527 17TH ST NW Washington, DC 20036",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=137296,"http://maps.google.com/maps?q=1527 17TH ST NW Washington, DC 20036"
5845,AGORA RESTAURANT,"1527 17TH ST NW Washington, DC 20036",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5845,"http://maps.google.com/maps?q=1527 17TH ST NW Washington, DC 20036"
148065,AGUA 301,"301 WATER ST SE WASHINGTON, DC 20003",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=148065,"http://maps.google.com/maps?q=301 WATER ST SE WASHINGTON, DC 20003"
172353,AHIMSA FOODS,"4414 Georgia AVE NW WASHINGTON, DC 20011",Caterer,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172353,"http://maps.google.com/maps?q=4414 Georgia AVE NW WASHINGTON, DC 20011"
147950,AIR & SPACE MUSEUM STAFF CAFE,"601 INDEPENDENCE AVE SW WASHINGTON, DC 20008",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147950,"http://maps.google.com/maps?q=601 INDEPENDENCE AVE SW WASHINGTON, DC 20008"
93253,AITON ELEMENTARY SCHOOL,"534 48th PL NE WASHINGTON, DC 20019",School Cafeteria,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=93253,"http://maps.google.com/maps?q=534 48th PL NE WASHINGTON, DC 20019"
4680,AITON ELEMENTARY SCHOOL,"534 48th PL NE WASHINGTON, DC 20019",School Cafeteria,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4680,"http://maps.google.com/maps?q=534 48th PL NE WASHINGTON, DC 20019"
6115,AKA WHITE HOUSE,"1710 H ST NW Washington, DC 20007",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6115,"http://maps.google.com/maps?q=1710 H ST NW Washington, DC 20007"
188282,AL CROSTINO (n),"1926 9TH ST NW WASHINGTON, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188282,"http://maps.google.com/maps?q=1926 9TH ST NW WASHINGTON, DC 20001"
172668,AL CROSTINO (n),"1926 9TH ST NW WASHINGTON, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172668,"http://maps.google.com/maps?q=1926 9TH ST NW WASHINGTON, DC 20001"
5626,AL CROSTINO (n),"1324 U ST NW Washington, DC 20009",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=5626,"http://maps.google.com/maps?q=1324 U ST NW Washington, DC 20009"
1658,AL CROSTINO (n),"1324 U ST NW Washington, DC 20009",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1658,"http://maps.google.com/maps?q=1324 U ST NW Washington, DC 20009"
6566,AL DENTE RESTAURANT,"3201 NEW MEXICO AVE NW WASHINGTON, DC 20016",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6566,"http://maps.google.com/maps?q=3201 NEW MEXICO AVE NW WASHINGTON, DC 20016"
2415,AL TIRAMASU,"2014 P ST NW Washington, DC 20036",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2415,"http://maps.google.com/maps?q=2014 P ST NW Washington, DC 20036"
4074,AL'S DELICATESSEN,"1003 8TH ST SE Washington, DC 20003",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4074,"http://maps.google.com/maps?q=1003 8TH ST SE Washington, DC 20003"
4542,AL'S LIQUORS,"4009 SOUTH CAPITOL ST SW Washington, DC 20032",Food Products,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4542,"http://maps.google.com/maps?q=4009 SOUTH CAPITOL ST SW Washington, DC 20032"
4693,AL'S PIZZA,"1382 EAST CAPITOL ST NE Washington, DC 20003",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4693,"http://maps.google.com/maps?q=1382 EAST CAPITOL ST NE Washington, DC 20003"
706,AL'S PIZZA,"1382 EAST CAPITOL ST NE Washington, DC 20003",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=706,"http://maps.google.com/maps?q=1382 EAST CAPITOL ST NE Washington, DC 20003"
4215,ALABAMA CONVENIENCE,"2209 ALABAMA AVE SE WASHINGTON, DC 20020",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4215,"http://maps.google.com/maps?q=2209 ALABAMA AVE SE WASHINGTON, DC 20020"
148128,ALBA OSTERIA,"425 I ST NW Washington, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=148128,"http://maps.google.com/maps?q=425 I ST NW Washington, DC 20001"
172712,ALBERTO'S PIZZA,"2010 P ST NW Washington, DC 20036",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172712,"http://maps.google.com/maps?q=2010 P ST NW Washington, DC 20036"
2408,ALBERTO'S PIZZA,"2010 P ST NW Washington, DC 20036",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2408,"http://maps.google.com/maps?q=2010 P ST NW Washington, DC 20036"
4317,ALBERTS LIQUOR,"328 KENTUCKY AVE SE Washington, DC 20003",Food Products,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4317,"http://maps.google.com/maps?q=328 KENTUCKY AVE SE Washington, DC 20003"
6243,ALDI GROCERY STORE,"901 17TH ST NE WASHINGTON, DC 20002",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6243,"http://maps.google.com/maps?q=901 17TH ST NE WASHINGTON, DC 20002"
3047,ALERO RESTAURANT,"3500 CONNECTICUT AVE NW Washington, DC 20008",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=3047,"http://maps.google.com/maps?q=3500 CONNECTICUT AVE NW Washington, DC 20008"
2056,ALERO RESTAURANT,"1724 CONNECTICUT AVE NW Washington, DC 20009",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2056,"http://maps.google.com/maps?q=1724 CONNECTICUT AVE NW Washington, DC 20009"
1624,ALERO RESTAURANT,"1301 U ST NW UNIT 113 Washington, DC 20009",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1624,"http://maps.google.com/maps?q=1301 U ST NW Washington, DC 20009"
4758,ALERO RESTAURANT & LOUNGE,"3345 14TH ST NW Washington, DC 20010",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=4758,"http://maps.google.com/maps?q=3345 14TH ST NW Washington, DC 20010"
188224,ALFIE'S,"3301 GEORGIA AVE NW Washington, DC 20010",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188224,"http://maps.google.com/maps?q=3301 GEORGIA AVE NW Washington, DC 20010"
187376,ALIVE JUICES,"2619 EVARTS ST NE WASHINGTON, DC 20018",Caterer,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=187376,"http://maps.google.com/maps?q=2619 EVARTS ST NE WASHINGTON, DC 20018"
188816,ALL ABOUT BURGER,"2414 WISCONSIN AVE NW WASHINGTON, DC 20007",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188816,"http://maps.google.com/maps?q=2414 WISCONSIN AVE NW WASHINGTON, DC 20007"
188821,ALL ABOUT BURGER,"1101 4TH ST SW WASHINGTON, DC 20024",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188821,"http://maps.google.com/maps?q=1101 4TH ST SW WASHINGTON, DC 20024"
6701,ALL AFRICAN FOOD,"1325 6TH ST NE WWASHINGTON, DC 20002",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6701,"http://maps.google.com/maps?q=1325 6TH ST NE WWASHINGTON, DC 20002"
675,ALL AMERICAN (African) FOOD,"411 MORSE ST NE APT 201 WASHINGTON, DC 20002",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=675,"http://maps.google.com/maps?q=411 MORSE ST NE WASHINGTON, DC 20002"
6791,ALL IN ONE MARKET,"301 P ST NW WASHINGTON, DC 20001",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6791,"http://maps.google.com/maps?q=301 P ST NW WASHINGTON, DC 20001"
6425,ALL IN ONE MARKET,"301 P ST NW WASHINGTON, DC 20001",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6425,"http://maps.google.com/maps?q=301 P ST NW WASHINGTON, DC 20001"
6475,ALL IN ONE MARKET,"301 P ST NW WASHINGTON, DC 20001",Food Products,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6475,"http://maps.google.com/maps?q=301 P ST NW WASHINGTON, DC 20001"
173203,ALL IN ONE MARKET/EXXON,"1 FLORIDA AVE NE Washington, DC 20002",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=173203,"http://maps.google.com/maps?q=1 FLORIDA AVE NE Washington, DC 20002"
188694,ALL PURPOSE PIZZERIA,"1250 9TH ST NW WASHINGTON, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188694,"http://maps.google.com/maps?q=1250 9TH ST NW WASHINGTON, DC 20001"
1216,ALL SEASONS GIFTS @ WASHINGTON PLAZA HOTEL,"10 THOMAS CIR NW WASHINGTON, DC 20005",Food Products,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=1216,"http://maps.google.com/maps?q=10 THOMAS CIR NW WASHINGTON, DC 20005"
148023,ALL SOULS (n),"725 T ST NW WASHINGTON, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=148023,"http://maps.google.com/maps?q=725 T ST NW WASHINGTON, DC 20001"
147695,ALMAALA FARMS,"1309 5TH ST NE WASHINGTON, DC 20002",Grocery Store,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147695,"http://maps.google.com/maps?q=1309 5TH ST NE WASHINGTON, DC 20002"
147783,ALMAH'S SMOOTHIES,"1400 INDEPENDENCE AVE SW SPC 9 WASHINGTON, DC 20250",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147783,"http://maps.google.com/maps?q=1400 INDEPENDENCE AVE SW WASHINGTON, DC 20250"
172804,ALPHONSE ITALIAN MARKET & OSTERIA,"1212 U ST NW WASHINGTON, DC 20009",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=172804,"http://maps.google.com/maps?q=1212 U ST NW WASHINGTON, DC 20009"
188436,ALTA STRADA,"465 K ST NW WASHINGTON, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=188436,"http://maps.google.com/maps?q=465 K ST NW WASHINGTON, DC 20001"
3097,AMANUEL MARKET,"3661 GEORGIA AVE NW WASHINGTON, DC 20010",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=3097,"http://maps.google.com/maps?q=3661 GEORGIA AVE NW WASHINGTON, DC 20010"
147346,AMBAR (n),"523 8TH ST SE Washington, DC 20003",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=147346,"http://maps.google.com/maps?q=523 8TH ST SE Washington, DC 20003"
6905,AMBASSADOR RESTAURANT,"1907 9TH ST NW WASHINGTON, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=6905,"http://maps.google.com/maps?q=1907 9TH ST NW WASHINGTON, DC 20001"
2277,AMBASSADOR RESTAURANT,"1907 9TH ST NW WASHINGTON, DC 20001",Restaurant Total,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2277,"http://maps.google.com/maps?q=1907 9TH ST NW WASHINGTON, DC 20001"
2858,AMC THEATERS GEORGETOWN,"3111 K ST NW WASHINGTON, DC 20007",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=2858,"http://maps.google.com/maps?q=3111 K ST NW WASHINGTON, DC 20007"
3521,AMC THEATRES MAZZA GALLERIE 7,"5300 WISCONSIN AVE NW Washington, DC 20016",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=3521,"http://maps.google.com/maps?q=5300 WISCONSIN AVE NW Washington, DC 20016"
3034,AMC THEATRES UPTOWN 1,"3426 CONNECTICUT AVE NW WASHINGTON, DC 20008",Delicatessen,http://dc.healthinspections.us/webadmin/dhd_431/web/index.cfm?a=inspections&permitID=3034,"http://maps.google.com/maps?q=3426 CONNECTICUT AVE NW WASHINGTON, DC 20008"
