"abra_license"	"dcra_num"	"trade_name"	"abra_class"	"abra_endorsements"	"abra_status"	"dcra_status"	"category"	"dcra_start"	"dcra_exp"	"dcra_issue"	"address"	"city"	"state"	"zip"	"ward"	"anc"	"mpd_dist"	"lat"	"lng"
"ABRA-096845"	"68004923"	"1215 CT LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2016-05-06T00:00:00.000Z"	"1215 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.906407"	"-77.04112"
"ABRA-000604"	"931313000316"	"1218 WISCONSIN INCORPORATED"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-09-01T00:00:00.000Z"	"2017-08-31T00:00:00.000Z"	"2015-07-09T00:00:00.000Z"	"1218 WISCONSIN AVENUE NW"	"WASHINGTON"	"DC"	"20007"	"2"	"2E"	"SECOND"	"38.905684"	"-77.063024"
"ABRA-071676"	"67006602"	"1331 WSH FOOD CORP."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-11-01T00:00:00.000Z"	"2017-10-31T00:00:00.000Z"	"2015-10-19T00:00:00.000Z"	"1331 F STREET NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.897641"	"-77.030927"
"ABRA-099603"	"931316000036"	"1336 U STREET LLC"	"C"		"405.1 New Const"	"ACTIVE"	"Restaurant"	"2015-12-01T00:00:00.000Z"	"2017-11-30T00:00:00.000Z"	"2015-12-02T00:00:00.000Z"	"1336 U STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.916811"	"-77.031047"
"ABRA-019333"	"64004001"	"1345 CORPORATION"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-11-01T00:00:00.000Z"	"2016-10-31T00:00:00.000Z"	"2014-09-06T00:00:00.000Z"	"1345 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.90847"	"-77.04237"
	"931312000042"	"14L JJ SANDWICH COMPANY"				"ACTIVE"	"Restaurant"	"2015-11-01T00:00:00.000Z"	"2017-10-31T00:00:00.000Z"	"2015-09-24T00:00:00.000Z"	"1101 14TH STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"THIRD"	"38.903995"	"-77.031589"
"ABRA-083264"	"931311003501"	"14TH ST. SUBWAY"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-08-01T00:00:00.000Z"	"2017-07-31T00:00:00.000Z"	"2015-09-30T00:00:00.000Z"	"2001 14TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.917148"	"-77.031725"
"ABRA-083420"	"931311003501"	"14TH ST. SUBWAY"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-08-01T00:00:00.000Z"	"2017-07-31T00:00:00.000Z"	"2015-09-30T00:00:00.000Z"	"2001 14TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.917148"	"-77.031725"
"ABRA-091148"	"931313000253"	"14WBELLA LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-05-09T00:00:00.000Z"	"1315 W STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.919404"	"-77.030755"
"ABRA-091013"	"931314000251"	"16 G SUB LLC"	"A"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-07-01T00:00:00.000Z"	"2016-06-30T00:00:00.000Z"	"2016-04-08T00:00:00.000Z"	"1776 G STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2A"	"SECOND"	"38.898099"	"-77.041176"
"ABRA-060455"	"71101050"	"1610 RESTAURANT LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-02-01T00:00:00.000Z"	"2017-01-31T00:00:00.000Z"	"2015-01-22T00:00:00.000Z"	"1610 U STREET NW"	"WASHINGTON"	"DC"	"20009"	"2"	"2B"	"THIRD"	"38.916787"	"-77.037315"
"ABRA-077109"	"67003023"	"1615-LLL, LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-05-28T00:00:00.000Z"	"1615 RHODE ISLAND AVENUE NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.907049"	"-77.03805"
"ABRA-081161"	"69006257"	"1620 DC LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-07-01T00:00:00.000Z"	"2017-06-30T00:00:00.000Z"	"2015-06-19T00:00:00.000Z"	"1620 I STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2B"	"SECOND"	"38.901079"	"-77.037499"
	"67003680"	"1725 F STREET CAFE LLC"				"ACTIVE"	"Restaurant"	"2015-07-01T00:00:00.000Z"	"2017-06-30T00:00:00.000Z"	"2015-06-18T00:00:00.000Z"	"1725 F STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2A"	"SECOND"	"38.897557"	"-77.040783"
"ABRA-084184"	"931315000233"	"1831"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-09-01T00:00:00.000Z"	"2017-08-31T00:00:00.000Z"	"2015-09-02T00:00:00.000Z"	"1831 M STREET NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.905905"	"-77.042991"
"ABRA-099805"	"931315000233"	"1831"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-09-01T00:00:00.000Z"	"2017-08-31T00:00:00.000Z"	"2015-09-02T00:00:00.000Z"	"1831 M STREET NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.905905"	"-77.042991"
"ABRA-072633"	"931312000258"	"18TH AMENDMENT LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-07-01T00:00:00.000Z"	"2016-06-30T00:00:00.000Z"	"2016-04-08T00:00:00.000Z"	"613 PENNSYLVANIA AVENUE SE"	"WASHINGTON"	"DC"	"20003"	"6"	"6B"	"FIRST"	"38.885008"	"-76.997915"
"ABRA-071717"	"66007544"	"1900 M RESTAURANT ASSOCIATES"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-12-01T00:00:00.000Z"	"2016-11-30T00:00:00.000Z"	"2014-12-19T00:00:00.000Z"	"1900 M STREET NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.905361"	"-77.043869"
	"68006998"	"2001-13 ME LLC"				"ACTIVE"	"Restaurant"	"2014-11-01T00:00:00.000Z"	"2016-10-31T00:00:00.000Z"	"2014-12-19T00:00:00.000Z"	"2414 WISCONSIN AVENUE NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3B"	"SECOND"	"38.921445"	"-77.07249"
"ABRA-076166"	"67005786"	"2007 14TH STREET PRODUCTIONS LC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-10-01T00:00:00.000Z"	"2017-09-30T00:00:00.000Z"	"2015-09-30T00:00:00.000Z"	"2007 14TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.917317"	"-77.031626"
"ABRA-099323"	"931315000202"	"201 UPSHUR HOSPITALITY LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-07-01T00:00:00.000Z"	"2017-06-30T00:00:00.000Z"	"2015-07-13T00:00:00.000Z"	"201 UPSHUR STREET NW"	"WASHINGTON"	"DC"	"20011"	"4"	"4C"	"FOURTH"	"38.942409"	"-77.013867"
"ABRA-085365"	"931311003431"	"2200 WSH FOOD CORP"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-03-26T00:00:00.000Z"	"2200 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20037"	"2"	"2A"	"SECOND"	"38.901937"	"-77.049274"
"ABRA-079644"	"68005601"	"2408 WISCONSIN AVENUE LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-05-06T00:00:00.000Z"	"2408 WISCONSIN AVENUE NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3B"	"SECOND"	"38.921337"	"-77.072434"
	"931316000063"	"2418 ADAMS MORGAN LLC."				"ACTIVE"	"Restaurant"	"2016-01-01T00:00:00.000Z"	"2017-12-31T00:00:00.000Z"	"2016-01-15T00:00:00.000Z"	"2418 18TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.921222"	"-77.042488"
	"931314000086"	"2446 RU LLC"				"ACTIVE"	"Restaurant"	"2016-01-01T00:00:00.000Z"	"2017-12-31T00:00:00.000Z"	"2016-01-15T00:00:00.000Z"	"2446 18TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.921834"	"-77.042698"
"ABRA-025273"	"39704378"	"2461 CORPORATION"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-29T00:00:00.000Z"	"2461 18TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.922027"	"-77.042181"
"ABRA-086545"	"931312000232"	"2500 PENNSYLVANIA AVENUE INVESTORS INC"	"C"		"Active"	"READY TO BATCH PRINT"	"Restaurant"	"2016-06-01T00:00:00.000Z"	"2018-05-31T00:00:00.000Z"	"2016-05-17T00:00:00.000Z"	"2500 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20037"	"2"	"2A"	"SECOND"	"38.903434"	"-77.05367"
"ABRA-086545"	"931312000232"	"2500 PENNSYLVANIA AVENUE INVESTORS INC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-06-01T00:00:00.000Z"	"2016-05-31T00:00:00.000Z"	"2016-03-10T00:00:00.000Z"	"2500 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20037"	"2"	"2A"	"SECOND"	"38.903434"	"-77.05367"
"ABRA-085456"	"931311003457"	"2608 CONNECTICUT AVENUE LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-05-01T00:00:00.000Z"	"2017-04-30T00:00:00.000Z"	"2015-05-01T00:00:00.000Z"	"2608 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20008"	"3"	"3C"	"SECOND"	"38.923968"	"-77.052116"
"ABRA-014759"	"39002572"	"2718 CORPORATION"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-14T00:00:00.000Z"	"2718 GEORGIA AVENUE NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.925636"	"-77.023159"
"ABRA-000899"	"50005195"	"3124 CORPORATION"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-17T00:00:00.000Z"	"2311 WISCONSIN AVENUE NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3B"	"SECOND"	"38.920661"	"-77.071431"
"ABRA-085471"	"931312000237"	"3313 11TH HOSPITALITY LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-06-01T00:00:00.000Z"	"2016-05-31T00:00:00.000Z"	"2016-03-10T00:00:00.000Z"	"3313 11TH STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"THIRD"	"38.931088"	"-77.027814"
"ABRA-085471"	"931312000237"	"3313 11TH HOSPITALITY LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-06-01T00:00:00.000Z"	"2016-05-31T00:00:00.000Z"	"2016-03-10T00:00:00.000Z"	"3313 11TH STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"THIRD"	"38.931088"	"-77.027814"
"ABRA-082215"	"931315000188"	"3632 GEORGIA HOSPITALITY LLC"	"C"		"Safekeeping"	"ACTIVE"	"Restaurant"	"2015-05-01T00:00:00.000Z"	"2017-04-30T00:00:00.000Z"	"2015-06-17T00:00:00.000Z"	"3632 GEORGIA AVENUE NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"FOURTH"	"38.934969"	"-77.024387"
"ABRA-099133"	"931315000188"	"3632 GEORGIA HOSPITALITY LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-05-01T00:00:00.000Z"	"2017-04-30T00:00:00.000Z"	"2015-06-17T00:00:00.000Z"	"3632 GEORGIA AVENUE NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1A"	"FOURTH"	"38.934969"	"-77.024387"
	"931315000212"	"3701 JERK STATION"				"ACTIVE"	"Restaurant"	"2015-07-01T00:00:00.000Z"	"2017-06-30T00:00:00.000Z"	"2015-07-28T00:00:00.000Z"						"NONE"		"0"	"0"
"ABRA-087703"	"931312000172"	"3813 GA AVENUE LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-14T00:00:00.000Z"	"3813 GEORGIA AVENUE NW"	"WASHINGTON"	"DC"	"20011"	"4"	"4C"	"FOURTH"	"38.938126"	"-77.024332"
"ABRA-087703"	"931312000172"	"3813 GA AVENUE LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-14T00:00:00.000Z"	"3813 GEORGIA AVENUE NW"	"WASHINGTON"	"DC"	"20011"	"4"	"4C"	"FOURTH"	"38.938126"	"-77.024332"
"ABRA-087875"	"50006935"	"476 K LLC"	"C"		"Safekeeping"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-22T00:00:00.000Z"	"476 K STREET NW"	"WASHINGTON"	"DC"	"20001"	"6"	"6C"	"FIRST"	"38.902266"	"-77.018702"
"ABRA-087875"	"50006935"	"476 K LLC"	"C"		"Safekeeping"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-22T00:00:00.000Z"	"476 K STREET NW"	"WASHINGTON"	"DC"	"20001"	"6"	"6C"	"FIRST"	"38.902266"	"-77.018702"
"ABRA-087875"	"50006935"	"476 K LLC"	"C"		"Safekeeping"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-22T00:00:00.000Z"	"476 K STREET NW"	"WASHINGTON"	"DC"	"20001"	"6"	"6C"	"FIRST"	"38.902266"	"-77.018702"
"ABRA-089911"	"931313000027"	"505 9TH STREET PARTNERS LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-10-01T00:00:00.000Z"	"2016-09-30T00:00:00.000Z"	"2014-09-30T00:00:00.000Z"	"855 E STREET NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2C"	"FIRST"	"38.896323"	"-77.023443"
"ABRA-099695"	"931315000248"	"727 CONCEPT LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-09-01T00:00:00.000Z"	"2017-08-31T00:00:00.000Z"	"2015-09-29T00:00:00.000Z"	"727 15TH STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"SECOND"	"38.899631"	"-77.033262"
"ABRA-099695"	"931315000248"	"727 CONCEPT LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-09-01T00:00:00.000Z"	"2017-08-31T00:00:00.000Z"	"2015-09-29T00:00:00.000Z"	"727 15TH STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"SECOND"	"38.899631"	"-77.033262"
"ABRA-099955"	"931315000225"	"734 NW LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-08-01T00:00:00.000Z"	"2017-07-31T00:00:00.000Z"	"2015-08-20T00:00:00.000Z"	"734 11TH STREET NW"	"WASHINGTON"	"DC"	"20001"	"2"	"2C"	"FIRST"	"38.899352"	"-77.027266"
"ABRA-095362"	"931315000078"	"7TH HILL RESTAURANT INC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-01-01T00:00:00.000Z"	"2016-12-31T00:00:00.000Z"	"2015-01-23T00:00:00.000Z"	"4885 MACARTHUR BOULEVARD NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3D"	"SECOND"	"38.917885"	"-77.096921"
"ABRA-086604"	"931314000073"	"919 U STREET, LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-01-01T00:00:00.000Z"	"2017-12-31T00:00:00.000Z"	"2015-12-30T00:00:00.000Z"	"919 U STREET NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.917171"	"-77.024849"
"ABRA-080952"	"65000356"	"A & A RESTAURANT GROUP, INC./RUSSIA HOUSE CLUB"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-01-01T00:00:00.000Z"	"2016-12-31T00:00:00.000Z"	"2015-02-20T00:00:00.000Z"	"1800 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20009"	"2"	"2D"	"SECOND"	"38.914386"	"-77.046507"
	"931312000334"	"A BLOOMIN' SANDWICH CAFE"				"ACTIVE"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2014-08-15T00:00:00.000Z"	"2141 K STREET NW"	"WASHINGTON"	"DC"	"20037"	"2"	"2A"	"SECOND"	"38.902922"	"-77.048028"
	"931312000334"	"A BLOOMIN' SANDWICH CAFE"				"READY TO RENEW"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2016-05-06T00:00:00.000Z"	"2141 K STREET NW"	"WASHINGTON"	"DC"	"20037"	"2"	"2A"	"SECOND"	"38.902922"	"-77.048028"
"ABRA-096125"	"931316000014"	"A LITTLE MOUTHFUL LLC"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2015-10-01T00:00:00.000Z"	"2017-09-30T00:00:00.000Z"	"2015-10-23T00:00:00.000Z"	"1781 FLORIDA AVENUE NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.917481"	"-77.040894"
"ABRA-100236"	"931316000014"	"A LITTLE MOUTHFUL LLC"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2015-10-01T00:00:00.000Z"	"2017-09-30T00:00:00.000Z"	"2015-10-23T00:00:00.000Z"	"1781 FLORIDA AVENUE NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.917481"	"-77.040894"
"ABRA-098996"	"931314000285"	"A. MONTERO FOODS, LLC."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-09-01T00:00:00.000Z"	"2016-08-31T00:00:00.000Z"	"2014-09-15T00:00:00.000Z"	"3710 14TH STREET NW"	"WASHINGTON"	"DC"	"20010"	"4"	"4C"	"FOURTH"	"38.937552"	"-77.033055"
	"67003548"	"A.R.E. INCORPORATED"				"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-09-18T00:00:00.000Z"	"4445 BENNING ROAD NE"	"WASHINGTON"	"DC"	"20019"	"7"	"7D"	"SIXTH"	"38.890445"	"-76.938334"
"ABRA-025153"	"39701419"	"AATISH ON THE HILL"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-05T00:00:00.000Z"	"609 PENNSYLVANIA AVENUE SE"	"WASHINGTON"	"DC"	"20003"	"6"	"6B"	"FIRST"	"38.88506"	"-76.998034"
"ABRA-025153"	"39701419"	"AATISH ON THE HILL"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-05T00:00:00.000Z"	"609 PENNSYLVANIA AVENUE SE"	"WASHINGTON"	"DC"	"20003"	"6"	"6B"	"FIRST"	"38.88506"	"-76.998034"
"ABRA-060573"	"931313000199"	"AB LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-03-27T00:00:00.000Z"	"800 F STREET NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2C"	"FIRST"	"38.896979"	"-77.023284"
"ABRA-090756"	"931313000199"	"AB LLC"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-03-27T00:00:00.000Z"	"800 F STREET NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2C"	"FIRST"	"38.896979"	"-77.023284"
"ABRA-090984"	"931313000199"	"AB LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-03-27T00:00:00.000Z"	"800 F STREET NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2C"	"FIRST"	"38.896979"	"-77.023284"
	"931316000102"	"ABC Corporation"				"READY TO RENEW"	"Restaurant"	"2016-03-01T00:00:00.000Z"	"2018-02-28T00:00:00.000Z"	"2016-03-05T00:00:00.000Z"	"200 MASSACHUSETTS AVENUE NW"	"WASHINGTON"	"DC"	"20001"	"2"	"6C"	"FIRST"	"38.898967"	"-77.014089"
"ABRA-019300"	"54002362"	"ABE CORPORATION"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-17T00:00:00.000Z"	"4822 MACARTHUR BOULEVARD NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3D"	"SECOND"	"38.916733"	"-77.09637"
"ABRA-071268"	"54002362"	"ABE CORPORATION"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-17T00:00:00.000Z"	"4822 MACARTHUR BOULEVARD NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3D"	"SECOND"	"38.916733"	"-77.09637"
"ABRA-019300"	"54002362"	"ABE CORPORATION"	"C"		"Active"	"READY TO BATCH PRINT"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-05T00:00:00.000Z"	"4822 MACARTHUR BOULEVARD NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3D"	"SECOND"	"38.916733"	"-77.09637"
"ABRA-071268"	"54002362"	"ABE CORPORATION"	"C"		"Active"	"READY TO BATCH PRINT"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-05T00:00:00.000Z"	"4822 MACARTHUR BOULEVARD NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3D"	"SECOND"	"38.916733"	"-77.09637"
	"69008986"	"ABP CORPORATION"				"ACTIVE"	"Restaurant"	"2015-10-01T00:00:00.000Z"	"2017-09-30T00:00:00.000Z"	"2015-08-21T00:00:00.000Z"	"601 INDIANA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"6C"	"FIRST"	"38.894641"	"-77.020261"
	"69008984"	"ABP CORPORATION"				"ACTIVE"	"Restaurant"	"2015-10-01T00:00:00.000Z"	"2017-08-31T00:00:00.000Z"	"2015-07-18T00:00:00.000Z"	"1850 K STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2B"	"SECOND"	"38.902265"	"-77.043127"
